"latitude","longitude"
43.5495590,1.4198463
43.5924912,1.4442546
43.6459495,1.4717762
43.5912742,1.5084202
43.6375569,1.3762146
43.5354350,1.4005880
43.6471091,1.4698770
43.5305435,1.4024527
43.6449565,1.3670384
43.5489539,1.5024922
43.6880541,1.4044382
45.1473075,1.4883598
43.6542987,1.4233904
43.5686846,1.3773203
43.6037876,1.3080298
43.6414989,1.4361052
43.9959645,1.3378096
44.0056049,1.3547517
44.0170208,1.3545598
44.0159647,1.3556794
44.0133637,1.3608329
44.0182412,1.3556838
43.6110939,1.4521476
43.6073617,1.4465912
43.6080556,1.4458333
43.6062697,1.4506588
43.6046260,1.4489280
43.6335711,1.4316038
43.5670981,1.4123047
43.5761358,1.4513295
43.6048241,1.4420609
43.5968000,1.4470155
43.6096419,1.4392784
43.6022879,1.4509094
43.5984948,1.4417373
43.6014573,1.4407916
43.6090520,1.4096611
43.6075309,1.4397190
43.6079420,1.4387660
43.5966536,1.4442221
43.6282638,1.4333854
43.5985754,1.4442594
43.5907636,1.4445903
43.6068469,1.4471475
43.6054511,1.4427203
43.5989839,1.4442430
43.6053109,1.4422042
43.5901490,1.4454511
43.6037263,1.4444707
44.0151575,1.3573976
44.0169688,1.3599115
44.0161498,1.3674021
44.0187409,1.3557635
43.6044469,1.4447876
43.6043782,1.4433647
43.6048980,1.4501806
43.6091882,1.4558940
43.6111728,1.4383157
43.5914945,1.4797739
44.0164284,1.3626373
44.0167836,1.3461983
43.9965324,1.3335127
43.6084187,1.4523645
43.6029108,1.4451189
43.6035277,1.4484604
43.6030501,1.4417918
43.6052340,1.4439515
43.6091028,1.4318738
43.6015545,1.4405483
43.6037050,1.4360850
43.5972817,1.4438843
43.6071425,1.4500745
43.6057639,1.4524415
44.0183072,1.3535808
44.0374933,1.3833037
44.0223991,1.3552191
44.0378095,1.3683534
44.0182935,1.3534333
44.0148403,1.3474323
44.0177593,1.3524060
43.9853820,1.3272080
44.0258833,1.3571328
44.0339092,1.3752758
44.0183768,1.3628678
44.0166685,1.3478194
44.0184370,1.3556258
43.3493440,3.2533314
43.5502483,1.5021502
44.0145505,1.3519044
43.6006691,1.4307755
43.5722251,1.3798702
43.5978429,1.4377234
43.6099423,1.4541174
44.1123754,1.4983620
44.0752327,1.5291947
43.6066780,1.4473039
43.9672936,1.5725410
43.9663007,1.5853156
43.5985717,1.4417895
45.7696968,4.8556745
43.7043952,1.2632640
48.8713507,2.2935605
46.1102622,4.7417987
44.2009113,0.6258620
44.0743830,1.5458619
43.9783597,1.4889171
43.9204091,2.1399797
43.3917320,1.6920005
45.7808468,3.1097018
43.6648655,-1.4269190
43.6815086,-1.4268779
50.7027985,3.1608927
43.6543240,-1.4427140
44.2864724,-0.2289079
43.6518525,-1.4454287
43.6515236,-1.4453669
43.6564652,-1.4441188
43.6513632,-1.4453377
43.3700882,-1.3993881
43.6406538,-1.4314569
43.6591360,-1.4284440
44.0156861,1.3541476
43.9292560,2.1450708
45.7796014,4.8365533
48.8505477,2.3888800
48.8616248,2.3513124
48.7395186,2.3006857
43.9274619,2.1473052
43.6084900,3.8771952
43.5966541,1.4568960
43.9484143,2.2097945
44.0133668,1.3558722
43.8451362,1.4978635
43.7858096,1.3544488
43.7565775,1.5562008
43.7064876,1.4657291
43.6713081,1.2855067
46.3166350,-0.4801162
46.1626139,-1.1522806
46.3234194,-0.4575326
46.3194875,-0.4546444
43.5974819,1.4202729
43.6642324,1.5016887
43.5103220,1.3643281
43.5131708,1.1761188
43.1239094,0.3834546
43.5982065,1.2905488
43.5987575,1.4341407
43.5719669,1.4793196
43.5396865,1.5130408
43.9258235,2.1487467
44.1789082,0.6209488
43.5994493,1.4416423
43.6085626,1.4535230
43.5720442,1.4341411
43.5923277,1.4438783
44.5260690,2.2815678
45.8554033,5.1340017
44.0184620,1.3571320
44.0148213,1.3473355
43.9281290,2.1451466
44.1132322,0.8521059
47.9944851,-4.1078707
44.1620527,1.5386662
45.8833188,3.3162026
48.7397549,2.4250982
43.9245905,2.1490131
43.8390037,4.3571120
43.6134429,3.8069604
44.3489108,2.0309957
44.2760216,2.0552611
43.7167971,1.5625486
44.4445877,1.4395931
43.6004011,1.4644207
43.4260074,1.3583556
43.8890514,-0.4645878
43.8995002,-0.5004177
43.6079594,1.4487668
43.6154021,1.2322240
48.7939741,2.5210406
43.6917012,1.4456435
45.7859998,4.8107435
45.7568490,4.8667610
47.6683960,-2.0759593
47.0605176,-0.9067698
43.6043023,1.4494455
43.5797100,1.4234254
43.5667451,1.4582737
43.6175563,1.4569555
43.6112872,1.4520297
43.6167886,1.4730646
43.6017989,1.4395056
43.6021430,1.4408382
43.5949735,1.4644609
43.6053408,1.4472321
43.6078069,1.4570630
43.6084843,1.4534278
43.6075035,1.4518943
43.6063651,1.4423963
43.6068641,1.4424019
47.3131196,5.0571475
47.3558525,5.0369278
44.1969360,0.6303110
44.1326770,1.5191280
44.1620952,1.5376803
43.9654561,1.5858779
44.0401306,1.3384102
44.1044446,1.0845568
44.4465814,1.4423930
44.4449640,1.4405664
43.6018791,1.4585173
43.6174240,1.4545437
43.6028319,1.4541343
43.5508003,1.4108057
43.5917800,1.4443692
43.7000900,1.8148850
43.6115474,1.4521285
43.6038317,1.4352084
48.8655319,2.3466413
48.8643563,2.2968759
33.5916746,-7.6352104
50.6923235,3.1706688
48.8785454,2.2940368
48.8585188,2.2757777
43.6679436,1.5125331
43.9361381,2.1783549
44.1897970,0.6136470
48.8445158,2.3759893
48.8835600,2.3283694
48.8609674,2.3482385
48.8539434,2.3699884
48.8761755,2.3442183
48.8593540,2.3461340
48.8619093,2.3457720
48.8799981,2.3538436
48.8283836,2.3276707
48.8826394,2.3376986
48.8580139,2.3515059
48.8308401,2.3570359
48.8744563,2.3295941
48.8673291,2.3470265
48.8676038,2.3623820
48.8490239,2.5775298
48.8678339,2.2814247
48.8415881,2.3224740
43.6023688,1.4474830
43.6014681,1.4421433
43.5982417,1.4342197
43.6868480,1.4049030
48.5145841,2.6344474
43.6486536,1.3665872
43.6134310,1.3307734
43.7461687,1.3669706
43.7570917,1.3023208
43.5713930,1.4794654
44.1561932,4.0710240
43.6800675,1.4070509
43.6562521,1.4208119
43.6337449,1.3991524
43.6064293,3.8824629
43.9648562,1.4284139
44.0167548,1.3467104
44.0756298,1.6195072
44.0716667,1.5230556
44.2003698,1.7716733
43.9301732,2.1883534
44.8180400,-0.5852219
42.9650968,1.6081359
48.8520295,2.3901292
43.8828886,0.9891164
43.9226170,4.8597160
44.0189793,1.3539257
43.9945741,1.3373135
44.4484584,1.4399117
43.6880568,1.3363480
43.5995926,1.4500703
44.2119780,0.7824140
48.8360422,2.3718555
44.4043888,0.6838468
43.9661643,1.5816943
43.8076148,1.5678824
43.6027638,1.4419400
44.0195080,1.3600251
44.0388443,1.3802276
43.6029503,1.4427730
43.5414444,1.5096967
43.6415346,1.3728868
